Type Water Body,State Name,MIN Temprature,MAX Temprature,MIN Dissolved O2,MAX Dissolved O2,MIN pH,MAX pH,MIN Conductivity,MAX Conductivity,MIN BOD,MAX BOD,MIN N+,MAX N+,MIN Fecal Coliform,MAX Fecal Coliform,MIN Total Coliform,MAX Total Coliform
LAKE,JAMMU  KASHMIR,13.5,27.0,5.8,9.2,7.7,8.5,202.0,227.0,2.0,4.0,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,13.0,27.6,6.4,9.8,7.9,8.2,160.0,195.0,2.0,3.8,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,13.8,26.1,6.4,9.8,7.4,8.5,142.0,268.0,1.5,2.9,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,11.7,28.0,5.7,9.3,7.4,7.8,165.0,202.0,2.3,4.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,12.2,27.5,4.8,8.9,7.6,8.3,188.0,267.0,2.0,6.3,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,14.0,24.0,5.9,7.9,7.5,8.1,192.0,239.0,1.0,1.0,0.02,0.02,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,15.0,26.0,6.1,6.5,8.1,8.6,170.0,240.0,3.4,16.4,0.04,0.04,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,9.4,27.0,2.5,7.5,7.3,7.6,197.0,291.0,2.0,5.1,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,10.0,21.0,1.6,8.1,7.1,7.5,90.0,487.0,1.3,5.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,6.1,24.0,3.0,7.9,7.2,7.9,70.0,165.0,1.0,4.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,6.0,24.1,4.2,6.8,7.1,7.6,194.0,260.0,1.3,2.7,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,8.6,26.0,4.4,8.5,7.1,8.0,161.0,249.0,1.5,2.7,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,8.5,28.4,2.4,8.7,7.1,7.7,188.0,268.0,1.8,5.7,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JHARKHAND,20.0,32.0,7.0,8.0,7.2,7.7,168.0,243.0,1.0,1.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JHARKHAND,19.5,20.0,7.4,7.6,7.5,7.5,344.0,790.0,2.4,2.5,0.6,2.9,41.0,321.0,280.0,920.0
POND,JHARKHAND,17.0,31.0,3.6,8.0,7.6,8.2,296.0,350.0,2.1,2.6,0.6,2.9,41.0,321.0,280.0,920.0
POND,JHARKHAND,20.0,23.0,2.0,4.9,7.3,7.4,344.0,790.0,3.9,12.8,0.6,2.9,41.0,321.0,280.0,920.0
POND,JHARKHAND,19.0,23.0,4.0,4.2,7.3,7.4,344.0,790.0,4.6,4.8,0.6,2.9,41.0,321.0,280.0,920.0
POND,JHARKHAND,17.0,32.0,6.2,7.6,7.6,8.2,310.0,332.0,1.5,2.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,KARNATAKA,25.0,25.0,0.3,7.2,6.5,8.1,226.0,1399.0,3.0,42.0,0.7,3.0,4600.0,940000.0,35000.0,5400000.0
LAKE,KARNATAKA,25.0,25.0,1.9,7.0,6.5,7.7,324.0,1268.0,4.0,22.0,1.5,5.7,3300.0,150000.0,24000.0,1600000.0
